UF,DATA,VENDA,LANCHE FRANQUEADO,CHOPP COM UNIDADE EM LITRO,ACOMPANHAMENTO,SACHET MOLHO PINCANHA,SANDUICHE,BEX CAFE,PROJETO CAFÉ,BEX SANDUICHES E MOLHOS,BEX DOCES,MOLHO FESTIVAL,PRATO,CALDA BOBS TOP,DOCE E TORTA,BEX SNACKS,LINHA ORIGINAL,BEX BEBIDAS,MOLHO,REFEICAO COLABORADORES,GELADO E MILK SHAKE,BRINDE,ADICIONAL,BEX GELADOS E MILKSHAKES,BEX SALADAS,PROJETO CHOPP,BEBIDA,BEBIDA COM UNIDADE EM LITRO,ITENS DE COMPOSIÇÃO,OUTROS
RJ,2010-01-01,1145763.15,,,91116.0,,346614.68,126.5,,17598.7,,,13099.75,,1087.7,1874.5,0.0,2740.61,,,470132.51,,12168.8,518.0,2284.5,8.6,186392.3,,0.0,0.0
RJ,2010-02-01,1039438.91,,,87129.85,,314830.0,279.5,159.0,16380.9,,,12161.15,,757.9,1548.9,0.0,1499.75,,,415667.56,,12857.9,44.3,1650.0,9.3,174462.9,,0.0,0.0
RJ,2010-03-01,1369449.98,,,118103.4,,448731.21,501.5,815.4,15872.3,,,20573.5,,1549.9,1928.9,0.0,1613.41,,,506239.36,,15563.9,13.5,2215.1,143.3,235585.3,,0.0,0.0
RJ,2010-04-01,2097373.11,,,173666.5,,825937.54,453.7,571.1,19123.2,,,29070.1,,2067.5,2085.6,15.0,1805.02,,,654690.95,,18889.75,9.0,2348.5,836.9,365802.75,,0.0,0.0
RJ,2010-05-01,5154294.47,0.0,,457413.74,,2075772.15,470.2,3997.05,23652.92,,,50015.71,,5731.2,2675.1,3201.0,1980.2,,,1512081.05,,41816.0,12.8,2480.8,1934.5,971060.05,,0.0,0.0
RJ,2010-06-01,7298517.15,0.0,,705815.53,,3014245.35,774.1,5293.45,21692.8,,,67447.36,,8049.2,2596.5,4319.5,1762.7,,,1994331.61,,74257.25,4.5,1926.9,1692.7,1394307.7,,0.0,0.0
RJ,2010-07-01,9451164.51,0.0,,977134.52,,3524181.3,1011.5,5417.95,22443.12,,,81256.8,,9592.6,2548.7,5169.0,1795.42,,,2938480.28,,98835.8,108.1,1580.0,1703.8,1779905.62,,0.0,0.0
RJ,2010-08-01,8912699.38,0.0,,952918.92,,3469653.01,1497.0,4227.2,28171.63,,,59818.96,,8716.3,2771.1,4357.0,2203.0,,,2675494.77,,113860.35,478.7,1794.8,320.8,1586415.84,,0.0,0.0
RJ,2010-09-01,9517937.94,0.0,,953335.57,,3560473.8,1239.4,5255.9,37167.92,,,60907.41,,9552.07,3628.3,5779.5,2551.8,,,3127143.87,,109822.88,387.35,1663.6,1582.1,1637446.47,,0.0,0.0
RJ,2010-10-01,12017280.42,0.0,,1151014.01,,4492318.84,1400.1,5219.3,68410.69,,,65833.55,,11267.41,5782.1,6693.0,3896.8,,,3989207.36,,145940.49,130.8,359.1,6145.8,2063661.07,,0.0,0.0
RJ,2010-11-01,12054681.11,0.0,,1051520.25,,4607352.56,2010.6,5147.2,72359.72,,,66101.32,,10446.37,6713.1,6572.5,5419.15,,,3965596.28,,138388.86,39.65,1650.4,5668.3,2109694.85,,0.0,0.0
RJ,2010-12-01,19386896.89,0.0,,1710495.85,,7455444.24,2190.0,5931.6,82647.12,,,91454.36,,11713.3,6752.7,7526.5,6514.29,,,6390751.8,,199521.96,66.1,2246.0,5547.3,3408093.77,,0.0,0.0
RJ,2011-01-01,16955937.22,0.0,,1517401.78,,6239422.31,1391.4,5697.95,74678.3,,,86867.74,,10650.65,5412.5,8697.0,5099.31,,,5976128.55,,149770.75,409.25,1146.6,2046.45,2871116.68,,,
RJ,2011-02-01,14796394.86,0.0,,1348124.1,,5548989.46,871.73,4816.7,52444.78,,,81448.99,,9134.15,3872.37,6957.5,3774.61,,,5029931.0,,150448.42,271.0,1363.9,6099.65,2547846.5,,,
RJ,2011-03-01,17897677.91,0.0,,1927055.72,,7295980.55,1756.52,5059.75,69675.1,,,100142.56,,12254.9,5582.98,6907.0,3752.3,,,5126789.67,,191116.44,304.15,1473.8,19746.4,3130080.07,,,
RJ,2011-04-01,20505954.11,0.0,,2516990.34,,8368883.75,1897.29,5160.1,60087.2,,,96698.19,,12219.78,4072.24,6657.0,3536.32,,,5645435.71,,223618.22,343.1,842.3,18742.55,3540770.02,,,
RJ,2011-05-01,19588287.74,0.0,,2507573.37,,8037135.22,2838.17,4862.1,59782.99,,,103561.36,,19432.0,4664.13,5950.0,3106.42,,,5150297.63,,234163.38,93.5,1325.5,17325.5,3436176.47,,,
RJ,2011-06-01,19672131.72,0.0,,2496290.55,,8128678.53,2776.22,4290.25,55797.52,,,100193.77,,20922.95,4566.9,6003.0,2865.31,,,5132817.19,,259751.67,50.5,1697.0,14827.45,3440596.91,,6.0,
RJ,2011-07-01,22778920.75,0.0,,2366622.81,,9443599.89,2953.72,5487.35,55296.27,,,111980.22,,21892.24,4537.62,6640.5,3056.5,,,6672602.56,,293052.47,73.75,1534.3,14015.05,3775575.5,,6.0,
RJ,2011-08-01,20976993.14,0.0,,1995794.68,,8802967.41,2922.14,9301.0,53372.87,,,109395.24,,19197.93,5539.22,5788.5,3588.9,,,6254187.49,,258020.55,11.25,1052.5,14591.15,3441262.31,,6.0,
RJ,2011-09-01,21255786.29,0.0,,2016190.49,,9291014.16,3110.02,9775.15,55364.54,,,107212.65,,19028.02,6075.8,6295.0,3303.1,,,5909323.5,,237949.93,7.9,663.0,18032.65,3572440.38,,6.0,
RJ,2011-10-01,22941753.25,0.0,,2285442.48,,9300548.59,5205.3,10981.5,66228.36,7.8,,123426.69,,20986.31,6658.71,6720.5,4697.8,,,7131247.95,,244137.05,7.9,123.5,22794.45,3712546.26,,6.0,
RJ,2011-11-01,22870368.61,0.0,,2379425.41,,9132942.91,5028.2,11558.4,55469.16,25.5,,128911.69,,20146.62,5910.2,6489.5,4828.4,,,7197765.86,,255979.54,7.9,136.0,20962.45,3644788.77,,6.0,
RJ,2011-12-01,31718355.52,0.0,,3368840.56,,12474994.49,4124.0,12885.5,73542.06,18.0,,155302.2,,20348.79,6786.1,7452.5,6174.41,,,10235010.69,,299512.41,0.0,464.0,32739.6,5020160.21,,6.0,
RJ,2012-01-01,26348411.38,0.0,,2856764.41,,10320841.8,3425.0,10226.4,53919.62,9.0,,139226.13,,18393.98,5250.0,6677.0,5211.7,,,8586651.81,,211077.21,,648.0,20551.28,4109538.04,,,
RJ,2012-02-01,23154304.33,0.0,,2397726.86,,8742465.86,2419.0,8557.8,48424.12,9.9,,120013.13,,14508.29,4599.2,5934.5,4697.3,,,8052057.0,,172060.17,,592.0,22415.71,3557823.49,,,
RJ,2012-03-01,23157630.68,0.0,,2566625.2,0.0,9010461.28,2773.0,8482.3,44567.59,28.0,,128275.0,,15032.21,3975.4,6002.5,4688.9,,,7551165.56,,197024.03,0.0,72.0,22964.5,3595493.21,,,
RJ,2012-04-01,22158781.3,0.0,,2677093.9,0.0,8840889.88,3329.5,7615.0,38012.19,14.4,,116259.98,,13474.62,3441.5,5460.5,3818.0,,,6658552.68,,210398.93,7.0,72.0,21810.6,3558602.62,,,
RJ,2012-05-01,22484860.64,0.0,,2701179.58,0.0,9283231.45,4289.5,10273.9,40082.46,5.7,,119621.98,,14833.3,3758.6,5253.0,3643.1,,,6448879.36,,226585.14,8.0,72.0,19775.2,3603440.37,,,
RJ,2012-06-01,22659779.27,0.0,,2606543.6,0.0,9064743.65,4048.3,13494.5,41866.2,21.9,,116491.07,,15227.8,3757.2,5203.5,3582.2,,,6982474.2,,239085.83,232.75,72.0,19104.22,3543902.35,,,
RJ,2012-07-01,25040374.16,0.0,,2678216.7,92.11,10092158.05,4500.2,16345.7,46258.0,0.9,,124366.68,,15452.34,3940.7,5932.0,3818.71,,,7865707.18,,258659.28,1286.75,72.0,17090.8,3906548.06,,,
RJ,2012-08-01,24343399.94,0.0,,2421040.98,92.13,9932135.93,3856.9,18598.36,48920.73,0.9,,114315.64,,14984.59,3916.6,5933.0,3210.5,,,7815973.48,,262882.41,991.0,72.0,19954.9,3676592.79,,,
RJ,2012-09-01,24946037.72,0.0,,2425105.22,52.57,9953131.05,3851.8,22311.9,47474.62,0.9,,112746.46,,14754.0,3204.9,6697.0,3611.8,,,8301841.75,,281892.21,1590.5,72.0,22814.1,3744957.84,,,
RJ,2012-10-01,28813377.97,0.0,,2686532.19,34.08,10413163.62,3695.1,24767.88,53712.12,0.9,,123756.22,,13982.44,3990.1,6431.5,3929.2,,,11138174.27,,287802.7,769.0,72.0,23669.2,4028962.35,,6.0,
RJ,2012-11-01,28920986.68,0.0,,3035262.23,1.46,10932495.85,3332.6,19978.89,51126.54,0.9,,114538.27,,13827.03,4871.03,6417.5,3331.3,,,10040190.65,,269155.17,585.35,72.0,25888.65,4399984.16,,6.0,
RJ,2012-12-01,38531068.82,0.0,,3713628.24,10.71,13589736.81,2654.9,22569.94,56979.84,0.9,,152593.58,,10929.22,5586.71,7387.0,5001.11,,,14631831.81,,276448.67,921.0,72.0,28103.1,6026686.18,,6.0,
RJ,2013-01-01,29223191.87,,,2955128.35,40.22,11113476.74,2834.8,24261.6,43684.34,0.0,,137917.51,,11422.39,3409.5,5521.0,5177.0,,,9937987.26,,218825.63,687.1,,14640.9,4748177.53,,,
RJ,2013-02-01,25396245.05,,,2476081.34,30.18,9334079.82,2844.5,16974.25,36159.65,0.0,,117528.63,,7776.94,2815.9,3783.5,4642.91,,,9170289.44,,191777.36,8.0,,19289.2,4012163.43,,,
RJ,2013-03-01,27688420.25,,,3030087.21,0.11,10750104.12,3536.4,20830.0,38579.32,0.0,,129257.96,,10361.01,3014.2,4566.0,4006.1,,,8825559.09,,235658.26,595.0,,20003.8,4612261.67,,,
RJ,2013-04-01,25330680.17,,,2880018.43,0.14,10120179.22,3807.3,20939.4,43563.84,0.0,0.0,132165.02,,10502.82,3293.0,4543.0,4207.3,,,7482338.13,,263603.24,595.0,,22719.4,4338204.93,,,
RJ,2013-05-01,27238156.01,,,3023828.48,2.17,11007545.6,3730.0,19308.15,37198.78,0.0,0.0,133883.9,,13574.01,2715.1,4692.0,3646.3,,,8042194.78,,304422.01,862.0,,21080.25,4615725.98,,3746.5,0.0
RJ,2013-06-01,26198893.29,,,2897561.95,0.04,10759148.5,1359.5,14638.8,17562.31,0.0,5350.93,136169.36,,12207.3,1122.9,4854.0,2818.9,,,7747949.17,,285499.52,840.0,,19742.45,4292067.66,,3746.5,0.0
RJ,2013-07-01,31541868.76,,,3659523.17,2.28,13280151.85,1518.5,19011.6,19460.66,0.0,7952.86,183690.93,,6644.67,1148.5,5644.0,1881.7,,,8728113.93,,318615.72,664.0,,17308.9,5290535.49,,3746.5,0.0
RJ,2013-08-01,28809247.61,,,3314109.22,41.4,11614865.07,1623.5,16114.45,18884.88,0.0,958.76,154683.7,,702.7,1001.81,5606.0,2886.5,,,8746010.41,,300900.11,568.0,,24654.75,4605636.35,,3746.5,0.0
RJ,2013-09-01,27196158.7,,,3044119.13,92.15,10520078.44,1425.6,12471.55,14765.9,0.0,63.87,149698.72,,219.66,638.0,4786.5,1833.5,,,8913287.81,,302625.64,772.0,,25208.7,4204071.53,,3746.5,0.0
RJ,2013-10-01,30621225.69,,,2976025.37,65.98,11632139.89,2165.6,16496.1,25101.73,5.5,12.79,161801.06,,28.91,913.0,4362.0,2432.2,,,10801799.23,10911.09,312528.06,500.0,,26178.75,4647758.43,,3746.5,0.0
RJ,2013-11-01,33040704.74,,,2918302.88,812.31,12402642.69,1918.2,13196.5,24070.55,12.6,1.52,141979.43,,47.9,815.5,4367.5,1945.5,,,11968978.52,20362.48,317185.85,336.0,,30230.0,5193498.81,,3746.5,0.0
RJ,2013-12-01,42080074.68,,,3792474.16,1532.13,15973348.63,2189.9,12176.85,23770.23,12.6,0.58,164320.79,,4.1,704.0,5083.85,4469.1,,,14659567.9,25402.59,371096.6,206.0,0.0,38203.95,7005523.32,,3746.5,0.0
RJ,2014-01-01,37215587.71,,,3144827.42,1382.89,12987583.09,1395.3,15457.75,12736.05,,8.61,140669.14,,12.0,417.0,3660.75,1817.4,,,14827298.68,21958.82,279467.61,170.0,0.0,29983.5,5746741.7,,,
RJ,2014-02-01,30078284.59,,,2581837.94,1194.15,10634518.88,1318.0,21178.67,13171.65,,2.46,119178.84,,3.5,332.0,3264.0,3628.5,,,11603577.87,23286.76,263030.43,60.0,7.5,27617.9,4781075.54,,,
RJ,2014-03-01,33580126.13,,,3346786.52,1006.61,13276171.07,1579.0,18210.71,11961.29,,0.3,110798.71,,3.5,463.31,3331.0,3166.0,,,10787462.85,41642.07,282762.48,176.0,7.5,22855.1,5671753.11,,,
RJ,2014-04-01,30027575.68,,,3382534.63,863.35,12136101.89,1511.0,19266.95,7414.15,,6.46,104399.47,,3.5,272.5,3191.0,1899.0,,,8646501.31,43303.21,276714.32,164.0,0.0,20336.7,5383095.74,,,
RJ,2014-05-01,30846525.62,,,3492218.39,1139.51,12587365.73,1593.0,19479.02,8125.99,,8.52,98450.13,,3.5,248.81,3557.0,1699.5,,,8760936.94,93409.89,290968.69,132.0,0.0,19384.3,5467808.2,,0.0,
RJ,2014-06-01,30994022.59,,,3224053.38,1093.79,13068022.17,1472.0,22637.55,8079.3,,3.22,102322.63,,3.5,267.8,4348.0,1335.0,,,8948418.0,42617.02,278287.3,240.75,0.0,18219.0,5272605.68,,0.0,
RJ,2014-07-01,30406569.41,,,3195191.78,1195.25,12705078.33,1193.0,27306.46,6989.78,,0.03,106466.62,,3.5,245.5,3633.0,1290.0,,,8841054.8,52102.86,269613.53,18.75,0.0,14752.8,5180150.92,,286.0,
RJ,2014-08-01,32117764.43,,,3207465.67,1128.83,13009555.58,1892.5,29803.78,17672.91,,0.03,109011.27,,3.5,1333.0,4204.5,2032.0,,,10074782.51,31198.94,286684.09,116.0,0.0,22085.7,5318460.51,,336.64,
RJ,2014-09-01,31228418.55,,,3028249.89,1220.11,12049032.87,1195.0,27508.13,9243.92,,0.03,100219.45,,3.5,502.5,5281.0,1509.5,,,10576745.05,49224.05,286534.09,116.0,0.0,27862.8,5063772.91,,317.28,
RJ,2014-10-01,36508514.41,,,3385073.71,886.68,13075318.19,1658.0,29697.4,22844.91,56.0,0.03,104859.32,,3.5,948.0,5284.0,2252.0,,,13844830.42,48474.56,324148.38,116.0,0.0,26545.3,5634479.15,,1158.39,
RJ,2014-11-01,36955405.78,,,3510681.85,886.68,13208149.17,1616.0,26636.52,18165.0,66.0,0.03,104343.65,,3.5,799.0,3684.5,1810.5,,,13951807.23,59313.82,297007.37,116.0,0.0,30467.3,5737760.61,,3097.26,
RJ,2014-12-01,45397947.4,,,4216820.78,886.68,15974704.67,1245.5,24016.25,17971.19,66.0,0.03,131538.73,,3.5,725.31,3638.0,2010.0,,,17403557.3,50774.3,344861.98,116.0,0.0,48461.5,7173595.21,,4026.68,
