UF,DATA,VENDA,LANCHE FRANQUEADO,CHOPP COM UNIDADE EM LITRO,ACOMPANHAMENTO,SACHET MOLHO PINCANHA,SANDUICHE,BEX CAFE,PROJETO CAFÉ,BEX SANDUICHES E MOLHOS,BEX DOCES,MOLHO FESTIVAL,PRATO,CALDA BOBS TOP,DOCE E TORTA,BEX SNACKS,LINHA ORIGINAL,BEX BEBIDAS,MOLHO,REFEICAO COLABORADORES,GELADO E MILK SHAKE,BRINDE,ADICIONAL,BEX GELADOS E MILKSHAKES,BEX SALADAS,PROJETO CHOPP,BEBIDA,BEBIDA COM UNIDADE EM LITRO,ITENS DE COMPOSIÇÃO,OUTROS
SP,2010-01-01,654201.58,,,54517.25,,193251.12,,,,,,12093.25,,1510.11,,,,,,289661.0,,8596.15,,,4764.9,89807.8,,,
SP,2010-02-01,557653.93,,,45917.36,,162195.12,,,,,,11065.8,,1280.68,,0.0,,,,247072.12,,7683.95,,,4221.2,78217.7,,,
SP,2010-03-01,615701.84,,,49215.16,,182742.3,,,,,,11895.85,,1957.51,,0.0,,,,269431.82,,8203.0,,,4689.5,87566.7,,,
SP,2010-04-01,690478.37,,,51779.12,,229202.34,11.5,,622.0,,,13137.35,,2081.51,55.0,0.0,55.0,,,271349.4,,9442.9,,60.0,4655.4,108026.85,,,
SP,2010-05-01,889976.85,,,66713.25,,295849.6,127.5,,3506.5,,,13362.05,,2936.3,383.0,0.0,311.0,,,349694.25,,13727.3,,120.0,4741.8,138504.3,,,
SP,2010-06-01,753031.16,,,56196.5,,239695.1,136.0,,2844.9,,,8532.35,,2892.1,340.5,0.0,214.0,,,310391.41,,16076.6,4.0,153.0,4499.4,111055.3,,,
SP,2010-07-01,1969051.32,,,156115.75,,588911.82,180.0,9623.7,4284.4,,,21092.57,,5613.3,457.5,0.0,717.0,,,833230.69,,34605.0,26.0,153.0,5308.8,308731.79,,,
SP,2010-08-01,2273303.69,0.0,,181929.5,,684314.23,1087.0,12950.3,3453.3,,,22049.44,,6107.8,415.6,0.0,687.0,,,991304.89,,39208.35,3.0,60.0,4297.5,325435.78,,,
SP,2010-09-01,2907448.54,0.0,,203268.47,,798906.17,885.5,10838.5,3334.4,,,23510.74,,7136.49,310.4,0.0,763.0,,,1415970.72,,49363.8,17.8,15.0,5614.1,387513.45,,,
SP,2010-10-01,5283463.47,0.0,,365417.48,,1424600.14,771.0,10099.6,3094.1,,,33032.22,,10294.5,287.0,0.0,770.0,,,2644320.69,,82794.38,15.0,27.0,9524.2,698416.16,,,
SP,2010-11-01,6260624.59,0.0,,400894.65,,1700052.48,900.5,10529.8,3504.9,,,38142.89,,10281.29,363.5,0.0,1434.0,,,3123828.16,,84758.68,15.0,18.0,10113.0,875802.74,,,
SP,2010-12-01,11110494.12,0.0,,743646.39,,3448176.79,1219.0,9700.8,5051.1,,,65261.93,,14064.84,645.5,0.0,3351.05,,,4885747.63,,134681.15,6.5,18.0,13212.7,1785728.74,,,
SP,2011-01-01,7681953.51,,,477685.33,,2099160.88,742.0,7790.1,2597.25,,,43674.9,,10833.75,342.2,,1754.65,,,3820133.84,,86012.51,3.5,,8315.7,1122906.9,,,
SP,2011-02-01,6129986.67,,,374072.12,,1654580.06,399.0,10293.5,1985.5,,,37146.16,,8248.85,190.5,,1404.15,,,3048520.75,,82011.49,3.5,,7846.8,903287.79,,,
SP,2011-03-01,7066401.61,,,511782.35,,2072484.55,621.0,12728.8,1363.75,,,43619.8,,10731.95,184.0,,1070.0,,,3255267.31,,104543.27,3.5,,9027.4,1042973.93,,,
SP,2011-04-01,7695505.74,,,612355.79,,2271597.22,638.0,11307.5,1007.25,,,45851.74,,10802.7,135.5,,878.25,,,3468434.58,,111963.05,21.0,,12972.5,1147540.66,,,
SP,2011-05-01,8001742.31,,,651339.61,,2453725.61,606.0,17254.3,1175.75,,,48837.74,,15909.65,83.0,,1019.15,,,3493844.58,,115759.5,21.0,,13269.9,1188917.52,,,
SP,2011-06-01,8651943.23,,,700640.58,,2886033.41,879.1,17061.8,13428.8,,,48661.08,,19076.1,247.0,,1025.8,,,3515709.13,,115602.21,243.3,,12167.9,1321167.02,,,
SP,2011-07-01,10970561.91,,,771746.81,,3315737.09,925.7,14639.3,26800.95,,,58627.0,,21858.95,388.5,,1834.05,,,5038087.95,,146993.86,420.0,9.0,14214.8,1558276.95,,1.0,
SP,2011-08-01,8688624.1,,,577555.43,,2658450.76,761.8,15605.0,9752.8,,,48865.27,,16577.9,639.5,,1153.75,,,4004279.22,,118657.6,455.5,9.0,11780.6,1224088.97,,1.0,
SP,2011-09-01,9167231.03,,,579667.28,,3052272.48,683.4,8148.7,9813.65,,,50333.89,,17461.45,1058.0,,1303.15,,,3950712.77,,120250.65,213.0,9.0,8709.0,1366600.61,,3.0,
SP,2011-10-01,10415675.69,,,674262.35,,3147715.49,829.1,455.1,7967.05,,,60727.05,,18791.0,966.5,,1492.75,,,4878104.01,,142789.29,45.0,9.0,9442.1,1472079.9,,3.0,
SP,2011-11-01,10959202.11,,,789575.13,,3303987.6,1023.5,388.0,6737.85,,,59958.39,,18907.6,706.7,,1575.95,,,5056142.82,,158114.42,183.0,9.0,13462.3,1548438.85,,3.0,
SP,2011-12-01,16800119.85,,,1277574.76,,5126649.78,1426.0,10939.85,9158.45,,,90944.82,,20854.4,912.0,,3070.5,,,7616004.22,,198396.91,383.0,9.0,19539.9,2424265.26,,3.0,
SP,2012-01-01,11312987.16,,,828900.05,,3232292.79,856.0,9805.35,5384.6,37.5,,60419.56,,18472.2,659.8,,1383.65,,,5481798.07,,138950.33,243.0,,13766.2,1520018.06,,,
